country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
India,,,,,,,0.403,,,,,,,,,,0.494,,,,,,,,,,0.678,,,,,0.744,,,,,
Indonesia,,,,,,0.817,,,,,,,,,,0.951,,,,,,,,,,,,,,0.985,,0.963,,0.994,0.994,,0.988
Iran,,0.423,,,,,,,,,,0.656,,,,,0.812,,,,,0.906,,,,,,,,,0.967,0.961,,0.985,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,0.805,,,,,,,,,,,0.805
Israel,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,0.999
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,0.963,,,,,,,,,,,,0.985
Jordan,,,,,0.848,,,,,,,,,,,,,,,,,,,,,,,,0.989,,0.99,,0.99,,,0.988,0.993
Kazakhstan,,,,,,,,,,,,,,,0.998,,,,,,,,,,0.999,,,,,,,,,,0.999,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,0.919,,,,,,,0.816,,,,
Kuwait,0.66,,,,,0.76,,,,,0.841,,,,,,,,,,0.902,,,,,,,,,,0.998,0.985,0.985,0.987,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,0.998,,
Lao,,,,,,,,,,,,,,,,,,,,,0.64,,,,,0.736,0.747,,,,0.787,,,,,,
Latvia,,,,,,,,,,,,,,,0.998,,,,,,,,,,,0.998,,,,,,,,,,,0.997
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,0.975,,,,,,,,,0.921,,
Liberia,,,,,,,,,,0.337,,,,,,,,,,0.542,,,,,,,,,,0.734,,,0.372,,,,
Libya,,,,,,,,,,0.803,,,,,,,,,,0.963,,,,,,,,,,0.994,,,,,,,0.998
Lithuania,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,0.997,,,,,,,,,,0.998
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,0.682,,,,,,,,,0.64,,
Malawi,,,,,,,,,,,,,0.491,,,,,,,,,,,0.707,,,,,,,,,,,,0.7,
Malaysia,,,,,,0.865,,,,,,,,,,,0.952,,,,,,,,,0.973,,,,,,,,,,0.985,
Maldives,,,0.871,,,,,,,,0.962,,,,,0.983,,,,,0.983,,,,,0.983,,,,,,0.994,,,,,
Mali,,0.135,,,,,,,,,,,,,,,,,,,,,,0.169,,,,,,,,0.308,,,,0.34,0.388
